WHO_region	Country	ISO3	Date_report	Date_report_start	Date_report_end	Date_sequence_start	Date_sequence_end	New_b117	Cumu_b117	Prop_b117	New_b117k	Cumu_b117k	Prop_b117k	New_b1351	Cumu_b1351	Prop_b1351	New_p1	Cumu_p1	Prop_p1	New_b16172	Cumu_b16172	Prop_b16172	New_sequenced	Cumu_sequenced	link1
WPR	Australia	AUS	2021/3/12			2021/2/1	2021/2/28							3	21		0	0					68	16820	https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_australia_epidemiology_report_36_reporting_period_ending_28_february_2021.pdf
WPR	Australia	AUS	2021/4/9			2021/3/1	2021/3/28		200					14	35		2	2					182	16869	https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_australia_epidemiology_report_38__reporting_period_ending_28_march_2021.pdf
WPR	Australia	AUS	2021/5/13			2021/3/29	2021/4/25	140	340					28	63		3	5					230	17381	https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_australia_epidemiology_report_40_reporting_period_ending_25_april_2021.pdf
WPR	Australia	AUS	2021/6/10			2021/4/26	2021/5/23	91	431					11	74		2	7			122		162	17694	https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_australia_epidemiology_report_42_reporting_period_ending_23_may_2021.pdf
WPR	Australia	AUS	2021/7/6			2021/5/24	2021/6/20		447						80		0	7			202		200	17920	https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_australia_epidemiology_report_44_reporting_period_ending_20_june_2021.pdf
WPR	Australia	AUS	2021/7/30			2021/6/21	2021/7/18	60	507					10	90		0	7		518	720		822	19591	https://www1.health.gov.au/
WPR	Australia	AUS	2021/8/30			2021/7/19	2021/8/15	43	550					9	99		0	7		3944	4664		2661	22778	https://www1.health.gov.au/internet/main/publishing.nsf/Content/C50CAE02452A48A7CA2587320081F7BF/$File/covid_19_australia_epidemiology_report_48_reporting_period_ending_15_august_2021.pdf
WPR	Australia	AUS	2021/9/24			2021/8/16	2021/9/12	4	554					0	99		1	8		6380	11044		3996	28636	https://www1.health.gov.au/internet/main/publishing.nsf/Content/C50CAE02452A48A7CA2587320081F7BF/$File/covid_19_australia_epidemiology_report_52_reporting_period_ending_10_october_2021.pdf
WPR	Australia	AUS	2021/11/1			2021/9/13	2021/10/10	14	568					1	100		0	8		6237	17281		3379	34374	https://www1.health.gov.au/internet/main/publishing.nsf/Content/C50CAE02452A48A7CA2587320081F7BF/$File/covid_19_australia_epidemiology_report_52_reporting_period_ending_10_october_2021.pdf
WPR	Australia	AUS	2021/6/7		2021/6/7				445						78			7			157				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/6/14		2021/6/14				447						78			7			166				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/6/21		2021/6/21				447						80			7			203				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/6/28		2021/6/28				463						85			7			241				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/8/23		2021/8/23				553						99			8			6450				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/8/30		2021/8/30				554						99			8			7735				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/9/6		2021/9/6				554						99			8			9325				https://www.cdgn.org.au/variants-of-concern
WPR	Australia	AUS	2021/11/1		2021/11/1				568						100			8			20677				https://www.cdgn.org.au/variants-of-concern
WPR	South Korea	KOR	2021/9/2			2020/12/1	2020/12/31	14	14	2.8				1	1	0.2	0	0	0	0	0	0			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/1/1	2021/1/31	51	65	8.3				10	11	1.6	1	1	0.2	0	0	0			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/2/1	2021/2/28	122	187	10.8				12	23	1.1	0	1	0	0	0	0			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/3/1	2021/3/31	146	333	6.2				23	46	1	2	3	0.1	0	0	0			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/4/1	2021/4/30	516	849	16.2				71	117	2.2	1	4	0	46	46	1.4			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/5/1	2021/5/31	804	1653	27.7				23	140	0.8	2	6	0.1	122	168	4.2			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/6/1	2021/6/30	792	2445	23.2				3	143	0.1	9	15	0.3	639	807	18.7			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	South Korea	KOR	2021/9/2			2021/7/1	2021/7/31	600	3045	7.9				5	148	0.1	5	20	0.1	4105	4912	53.7			http://www.kdca.go.kr/board/board.es?mid=a30501000000&bid=0031&list_no=716757&act=view
WPR	Philippines	PHL	2021/1/13		2021/1/13			1	1																https://doh.gov.ph/
WPR	Philippines	PHL	2021/1/22	2021/1/14	2021/1/22			16	17																https://doh.gov.ph/
WPR	Philippines	PHL	2021/1/30	2021/1/23	2021/1/30			0	17														48		https://doh.gov.ph/
WPR	Philippines	PHL	2021/2/5	2021/1/31	2021/2/5			8	25																https://doh.gov.ph/doh-press-release/SUSTAINED-BIOSURVEILLANCE-DETECTS-8-ADDITIONAL-B-1-1-7-CASES-IN-THE-COUNTRY
WPR	Philippines	PHL	2021/2/12	2021/2/6	2021/2/12		2021/2/8	19	44														718		https://doh.gov.ph/
WPR	Philippines	PHL	2021/2/21	2021/2/13	2021/2/21			18	62														757		https://doh.gov.ph/
WPR	Philippines	PHL	2021/3/2	2021/2/22	2021/3/2			25	87					6	6								350		https://doh.gov.ph/
WPR	Philippines	PHL	2021/3/5	2021/3/3	2021/3/5			31	118					52	58								350		https://doh.gov.ph/
WPR	Philippines	PHL	2021/3/13	2021/3/6	2021/3/13			59	177					32	90		1	1					752		https://doh.gov.ph/
WPR	Philippines	PHL	2021/3/20	2021/3/14	2021/3/20			46	223					62	152		0	1					150		https://doh.gov.ph/
WPR	Philippines	PHL	2021/4/10	2021/3/21	2021/4/10	2021/3/28	2021/4/8	170	393					192	344		1	2					1361		https://doh.gov.ph/
WPR	Philippines	PHL	2021/4/18	2021/4/11	2021/4/18			266	659					351	695		0	2							https://doh.gov.ph/
WPR	Philippines	PHL	2021/5/4	2021/4/17	2021/5/4			289	948	16				380	1075	18.2	0	2	0.03				744	5917	https://doh.gov.ph/
WPR	Philippines	PHL	2021/5/11	2021/5/5	2021/5/11			6	954					27	1102						2				
WPR	Philippines	PHL	2021/5/15	2021/5/12	2021/5/15			13	967					7	1109					10	12		37		https://doh.gov.ph/
WPR	Philippines	PHL	2021/5/29	2021/5/16	2021/5/29			104	1071					137	1246					1	13				https://doh.gov.ph/
WPR	Philippines	PHL	2021/6/21	2021/5/30	2021/6/22			14	1085					21	1267					4	17				https://doh.gov.ph/
WPR	Philippines	PHL	2021/7/5	2021/6/23	2021/7/5			132	1217					119	1386					2	19				https://doh.gov.ph/
WPR	Philippines	PHL	2021/7/22		2021/7/22			187	1668					142	1827					12	47				https://doh.gov.ph/
WPR	Philippines	PHL	2021/7/24	2121/7/23	2021/7/24			11	1679					13	1840					17	64				https://doh.gov.ph/
WPR	Philippines	PHL	2021/7/25	2021/7/25	2021/7/25			94	1775					179	2019					55	119				https://doh.gov.ph/
WPR	Philippines	PHL	2021/7/29	2021/7/26	2021/7/29			83	1855					127	2146					97	215				https://doh.gov.ph/
WPR	Philippines	PHL	2021/8/5	2021/7/30	2021/8/5			113	1968					122	2268					116	331				https://doh.gov.ph/
WPR	Philippines	PHL	2021/8/15		2021/8/15			41	2232					66	2483					182	807				https://doh.gov.ph/press-release/DOH-UP-PGC-AND-UP-NIH-CONFIRM-ADDITIONAL-COVID-19-VARIANT-CASES-INCLUDING-FIRST-CASE-OF-LAMBDA-VARIANT
WPR	Philippines	PHL	2021/8/23	2021/8/16	2021/8/23			90	2322					105	2588					466	1273				https://doh.gov.ph/press-release/DOH-UP-PGC-AND-UP-NIH-CONFIRM-ADDITIONAL-COVID-19-VARIANT-CASES
WPR	Philippines	PHL	2021/8/29	2021/8/24	2021/8/29			73	2395					81	2669					516	1789		748		https://doh.gov.ph/press-release/DOH-UP-PGC-AND-UP-NIH-CONFIRM-ADDITIONAL-COVID-19-VARIANT-CASES.
WPR	Philippines	PHL	2021/9/6	2021/8/30	2021/9/6			29	2424					28	2697					279	2068		367		https://doh.gov.ph/press-release/DOH-UP-PGC%2C-AND-UP-NIH-CONFIRM-ADDITIONAL-COVID-19-VARIANT-CASES
WPR	Philippines	PHL	2021/9/13	2021/9/7	2021/9/13			24	2448					28	2725			8		640	2708		748		https://doh.gov.ph/press-release/DOH-UP-PGC-AND-UP-NIH-CONFIRM-ADDITIONAL-COVID-19-VARIANT-CASES..
WPR	Philippines	PHL	2021/11/2		2021/11/2				3106						3562						5331				https://www.pna.gov.ph/articles/1158559
WPR	Malaysia	MYS	2020/4/15	2020/1/1	2020/12/31			0	0					0	0									128	http://covid-19.moh.gov.my/semasa-kkm/2021/03/penemuan-varian-baru-nigeria-sarscov2-b1525
WPR	Malaysia	MYS	2021/4/15	2021/1/1	2021/4/14			2	2					17	17								145	273	http://covid-19.moh.gov.my/semasa-kkm/2021/03/penemuan-varian-baru-nigeria-sarscov2-b1525
WPR	Malaysia	MYS	2021/4/25	2021/4/15	2021/4/23			3	5					4	21								29		http://covid-19.moh.gov.my/semasa-kkm/2021/04/variant-of-concerns-update-of-b.1.351
WPR	Malaysia	MYS	2021/5/3	2021/4/24	2021/5/2			3	8					27	48								59		http://covid-19.moh.gov.my/semasa-kkm/2021/05/informasi-terkini-mutasi-protein-spike-covid19-di-malaysia
WPR	Malaysia	MYS	2021/5/17	2021/5/3	2021/5/14			0	8					18	66					3	3				http://covid-19.moh.gov.my/semasa-kkm/2021/05/mutasi-spike-protein-di-malaysia-17052021
WPR	Malaysia	MYS	2021/5/25	2021/5/17	2021/5/23			0	8					12	78					1	4				http://covid-19.moh.gov.my/semasa-kkm/2021/05/mutasi-spike-protein-di-malaysia-25052021
WPR	Malaysia	MYS	2021/6/1	2021/5/24	2021/5/31			1	9					11	89					1	5				http://covid-19.moh.gov.my/semasa-kkm/2021/06/situasi-terkini-voi-dan-voc-31052021
WPR	Malaysia	MYS	2021/6/4	2021/6/1	2021/6/4			0	9					15	104					4	9				http://covid-19.moh.gov.my/semasa-kkm/2021/06/situasi-terkini-voi-dan-voc-05062021
WPR	Malaysia	MYS	2021/6/10	2021/6/5	2021/6/8			0	9					19	123					4	13				http://covid-19.moh.gov.my/semasa-kkm/2021/06/situasi-terkini-voi-dan-voc-10062021
WPR	Malaysia	MYS	2021/6/20	2021/6/11	2021/6/19			0	9					14	137					8	21				http://covid-19.moh.gov.my/semasa-kkm/2021/06/mutasi-spike-protein-di-malaysia-20062021
WPR	Malaysia	MYS	2021/6/24	2021/6/20	2021/6/22			0	9					5	142					1	22				http://covid-19.moh.gov.my/semasa-kkm/2021/06/mutasi-spike-protein-di-malaysia-24062021
WPR	Malaysia	MYS	2021/7/2		2021/6/30			2	11					5	147					18	40				https://covid-19.moh.gov.my/semasa-kkm/2021/07/situasi-terkini-voi-dan-voc-02072021
WPR	Malaysia	MYS	2021/7/14		2021/7/13			0	11					48	195					27	67				https://covid-19.moh.gov.my/semasa-kkm/2021/07/situasi-terkini-voi-dan-voc-14072021
WPR	Malaysia	MYS	2021/7/23		2021/7/22			3	14					10	206					106	189				https://covid-19.moh.gov.my/semasa-kkm/2021/07/situasi-terkini-voi-dan-voc-23072021
WPR	Malaysia	MYS	2021/7/28	2021/7/22	2021/7/28			0	14					0	206					10	199				https://covid-19.moh.gov.my/semasa-kkm/2021/07/mutasi-spike-protein-di-malaysia-28072021
WPR	Malaysia	MYS	2021/8/31	2021/7/29	2021/8/31			0	14					3	209					779	978				https://covid-19.moh.gov.my/semasa-kkm/2021/08/mutasi-spike-protein-di-malaysia-31082021
WPR	Malaysia	MYS	2021/9/26	2021/9/1	2021/9/26			0	14					5	214					634	1612				https://covid-19.moh.gov.my/semasa-kkm/2021/09/mutasi-spike-protein-di-malaysia-25092021
